total_fwd_packets,total_bwd_packets,fwd_bytes,bwd_bytes,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_mean,pkt_len_mean,pkt_len_std,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,duration,flow_bytes_per_sec,flow_packets_per_sec,syn_count,rst_count,ack_count,psh_count,fin_count,destination_port,label
45,58,4761,97600,603,86,105.8,78.78266999098908,4918,1682.7586206896551,993.7961165048544,1252.1138233608945,0.005932008518892176,0.031567535763524196,0.3116118907928467,0.0,0.6051,169173.5965129209,170.229681625139,2,0,102,55,2,443,normal
14,10,1736,4116,583,54,124.0,137.17254715251042,2914,411.6,243.83333333333334,580.3394558859246,0.009500306585560675,0.017809881378066935,0.04328489303588867,0.0,0.2185,26781.74439079745,109.83627227941537,2,2,21,12,2,443,normal
57,52,5704,130865,603,74,100.0701754385965,70.83175731697985,5766,2516.6346153846152,1252.926605504587,1424.5902965701714,0.0034607693001076027,0.009818721222679109,0.0468289852142334,0.0,0.3738,365389.21497554344,291.6285865191532,2,3,105,54,2,443,normal
15,15,2090,14622,603,74,139.33333333333334,133.41271446512278,8534,974.8,557.0666666666667,1606.812564082057,0.006217759231041218,0.01255663770247612,0.040242910385131836,9.5367431640625e-07,0.1803,92682.24140812592,166.37549319314132,2,3,26,12,2,443,normal
60,68,6015,1335542,603,86,100.25,69.15117926124137,64790,19640.323529411766,10480.9140625,18034.042755159444,0.0007240866112896777,0.0037110044597094168,0.040760040283203125,0.0,0.092,14588642.822807128,1391.9246676207663,2,0,127,55,2,443,normal
12,10,1881,6212,603,86,156.75,145.5660581067141,4076,621.2,367.8636363636364,848.9882098824934,0.0033685252780006046,0.009448129014908305,0.04404592514038086,0.0,0.0707,114406.43028503442,311.0022817584032,2,0,21,12,2,443,normal
1,1,110,110,110,110,110.0,0.0,110,110.0,110.0,0.0,0.041429996490478516,0.0,0.041429996490478516,0.041429996490478516,0.0414,5310.162168383496,48.27420153075905,0,0,0,0,0,123,normal
1,1,110,110,110,110,110.0,0.0,110,110.0,110.0,0.0,0.040940046310424805,0.0,0.040940046310424805,0.040940046310424805,0.0409,5373.711556940279,48.851923244911625,0,0,0,0,0,123,normal
1,1,110,110,110,110,110.0,0.0,110,110.0,110.0,0.0,0.03803586959838867,0.0,0.03803586959838867,0.03803586959838867,0.038,5784.0139406020035,52.581944914563664,0,0,0,0,0,123,normal
1,1,110,110,110,110,110.0,0.0,110,110.0,110.0,0.0,0.038194894790649414,0.0,0.038194894790649414,0.038194894790649414,0.0382,5759.93208531782,52.363018957434726,0,0,0,0,0,123,normal
1,1,110,110,110,110,110.0,0.0,110,110.0,110.0,0.0,0.040231943130493164,0.0,0.040231943130493164,0.040231943130493164,0.0402,5468.2916827165245,49.71174257015023,0,0,0,0,0,123,normal
48,52,5019,96939,603,86,104.5625,76.3805997006982,4918,1864.2115384615386,1019.58,1215.2029815897615,0.005114273591475053,0.027358248667406947,0.2623779773712158,0.0,0.5063,201373.42468253666,197.50625226322276,2,0,99,48,2,443,normal
14,10,1736,4117,583,54,124.0,137.17254715251042,2914,411.7,243.875,580.344748553748,0.009748344836027725,0.018008395787307507,0.044354915618896484,0.0,0.2242,26104.766003872766,107.04158279394267,2,2,21,12,2,443,normal
57,52,5704,130865,603,74,100.0701754385965,70.83175731697985,5766,2516.6346153846152,1252.926605504587,1424.5895296178137,0.0036023148783931027,0.010203008030156432,0.04861903190612793,0.0,0.3891,351031.9948326811,280.1696390598323,2,3,105,54,2,443,normal
13,17,1682,14454,583,54,129.3846153846154,141.22531551952625,7186,850.2352941176471,537.8666666666667,1391.2600771598568,0.009996866357737574,0.024380810862629127,0.11923003196716309,0.0,0.2899,55658.82079365641,103.48070301249952,2,1,28,13,3,443,normal
76,138,7391,1341596,603,86,97.25,61.61128143449055,64790,9721.710144927536,6303.677570093458,10339.767193180216,0.00042198073696082745,0.0028084659355033913,0.0395810604095459,0.0,0.0899,15008439.35693065,2380.902130549189,2,0,213,60,2,443,normal
13,10,1967,6214,603,86,151.30769230769232,139.5154618763243,4078,621.4,355.69565217391306,831.8421197877423,0.0030486366965553975,0.008650997374321465,0.04090094566345215,9.5367431640625e-07,0.0671,121977.02559435787,342.92526447503127,2,0,22,13,2,443,normal
58,57,5879,97745,603,86,101.36206896551724,70.28231248526092,6126,1714.8245614035088,901.0782608695653,1218.7685339864765,0.003854613555105109,0.01870367470101925,0.18836712837219238,0.0,0.4394,235816.75390947575,261.70507507517283,2,0,114,54,2,443,normal
13,9,1682,4050,583,54,129.3846153846154,141.22531551952625,2914,450.0,260.54545454545456,604.4459664907414,0.010862804594494048,0.01919537834673771,0.04639005661010742,0.0,0.2281,25127.247625418062,96.44093645484949,2,1,20,12,2,443,normal
113,104,11334,261669,603,74,100.30088495575221,70.78852875135412,5766,2516.048076923077,1258.078341013825,1422.4475543091908,0.07358605994118585,1.0277466140315608,15.107630014419556,0.0,15.8946,17175.845245525587,13.652444911883943,4,5,210,108,4,443,normal
14,16,1736,14388,583,54,124.0,137.17254715251042,7186,899.25,537.4666666666667,1391.4021390826156,0.005605418106605266,0.011764926266036712,0.04015994071960449,0.0,0.1626,99189.74631791074,184.55050790978186,2,2,27,13,2,443,normal
145,187,13325,1345834,603,86,91.89655172413794,44.82012261032535,59398,7196.973262032086,4093.852409638554,7443.770517413579,0.0002648852022753021,0.0022906466501791995,0.04014778137207031,0.0,0.0877,15501887.264879916,3786.6258266620257,2,0,331,61,2,443,normal
12,10,1881,6213,603,86,156.75,145.5660581067141,4077,621.3,367.90909090909093,849.196197482173,0.003854240689958845,0.009163328572040405,0.041632890701293945,0.0,0.0809,100001.16817631516,271.80945143055766,2,0,21,12,2,443,normal
58,57,5879,97547,603,86,101.36206896551724,70.28231248526092,4918,1711.3508771929824,899.3565217391305,1129.7759457373586,0.003875052719785456,0.018514938025575047,0.18575501441955566,0.0,0.4418,234124.7151046032,260.3246982096317,2,0,114,54,2,443,normal
14,11,1736,4183,583,54,124.0,137.17254715251042,2914,380.27272727272725,236.76,569.2383273579998,0.009010871251424154,0.017202861151507695,0.04360508918762207,0.0,0.2163,27369.7174355944,115.60110422197332,2,2,22,12,2,443,normal
56,51,5630,130779,603,74,100.53571428571429,71.38473589977426,5766,2564.294117647059,1274.8504672897195,1428.7426706508274,0.0035544633865356445,0.010011450907503822,0.048454999923706055,9.5367431640625e-07,0.3768,362045.4675001788,283.9905359801709,2,2,104,54,2,443,normal
14,15,1736,14321,583,54,124.0,137.17254715251042,8610,954.7333333333333,553.6896551724138,1649.6403310039666,0.006614421095166888,0.013031535923950618,0.04158210754394531,0.0,0.1852,86699.08937810328,156.58426804290931,2,2,26,12,2,443,normal
181,207,16421,1347562,603,86,90.72375690607734,40.15775750747875,64790,6509.961352657005,3515.4201030927834,6702.1175049716585,0.00025338227126641484,0.0021669024226921275,0.04015207290649414,0.0,0.0981,13909828.254176503,3956.8039796833855,2,0,387,56,2,443,normal
12,10,1881,6212,603,86,156.75,145.5660581067141,4076,621.2,367.8636363636364,848.9882098824934,0.0032013370877220517,0.009320528553127828,0.04346108436584473,0.0,0.0672,120381.24752903626,327.2442166858764,2,0,21,12,2,443,normal
58,58,5879,97615,603,86,101.36206896551724,70.28231248526092,4918,1683.0172413793102,892.1896551724138,1145.4405639129739,0.004598435111667799,0.024120353870481476,0.24736785888671875,0.0,0.5288,195707.41007163108,219.3562870147951,2,0,115,54,2,443,normal
13,10,1682,4117,583,54,129.3846153846154,141.22531551952625,2914,411.7,252.1304347826087,591.9451989644608,0.009930588982321999,0.018139635370506117,0.04453301429748535,0.0,0.2185,26543.330869915382,105.2761872750567,2,1,21,12,2,443,normal
57,53,5704,130951,603,74,100.0701754385965,70.83175731697985,5766,2470.7735849056603,1242.3181818181818,1422.398639150507,0.003706431170122339,0.010545678320036181,0.050978899002075195,0.0,0.404,338254.1152892618,272.2765554265764,2,3,106,54,2,443,normal
